TenDiaDanh,DiaChi,NoiDung,ImageURL,DichVu,ThongTinLienHe,DanhGia (Google Map),Lat,Lng
Di tích lịch sử - văn hóa căn cứ địa cách mạng Hải Chi (Đình Làng Dạ),"Xã Thanh Lâm, Huyện Ba Chẽ, Quảng Ninh","Căn cứ địa cách mạng Hải Chi là một địa danh lịch sử quan trọng, từng là căn cứ kháng chiến trong hai cuộc kháng chiến chống thực dân Pháp và đế quốc Mỹ. Nơi đây đóng vai trò quan trọng trong phong trào cách mạng của địa phương và đất nước. ",https://media.quangninh.gov.vn/2aec8815-e57b-4e45-a296-0f2451b3b976/Libraries/hinhanhbaiviet/thong%20tin%20chung%20huyen%20ba%20che/le%20hoi%20dinh%20lang%20da%202017/nghi%20le%20dung%20cay%20neu.jpg?time=1516612970237,N/A,N/A,N/A,21.2870445,107.0684475
Chợ Trung tâm Ba Chẽ,"Thị trấn Ba Chẽ, Huyện Ba Chẽ, Quảng Ninh","Khu chợ nhộn nhịp này mang đến cho du khách cơ hội độc đáo để đắm mình trong vẻ đẹp chân thực của vùng cao nguyên, thưởng thức các món đặc sản địa phương và khám phá các nghề thủ công truyền thống.",https://media.quangninh.gov.vn/d07e4659-2aae-4343-a2d5-478b67c08003/Libraries/HinhAnhBaiViet/02122019bache1.png,N/A,N/A,3.9 sao (40 đánh giá),21.2726874,107.2925978
Di tích lịch sử Miếu Ông – Miếu Bà,"Xã Nam Sơn, Huyện Ba Chẽ, Quảng Ninh","Miếu Ông và Miếu Bà tọa lạc trên núi Cái Tăn, sát bờ trái sông Ba Chẽ. Miếu Bà được xây dựng từ năm 1931 và được tôn tạo vào năm 2014. Khu di tích này không chỉ là điểm đến tín ngưỡng mà còn là nơi giáo dục thế hệ mai sau về đạo lý ""uống nước nhớ nguồn"". Lễ hội Miếu Ông - Miếu Bà cũng được tổ chức hàng năm, thu hút đông đảo người dân và du khách tham gia.",https://media.baoquangninh.vn/dataimages/202011/original/images1449914_IMG_20201109_234357.jpg,N/A,N/A,4.7 sao (19 đánh giá),21.2171532,107.3495765
Phố đi bộ Tiên Yên,"Thị trấn Tiên Yên, Huyện Tiên Yên, Quảng Ninh","Phố đi bộ Tiên Yên được thực hiện ở 2 dãy phố Lý Thường Kiệt và Hoà Bình, thuộc thị trấn Tiên Yên, gồm khu vực văn hoá - dân gian, chợ, ẩm thực. Phố đi bộ được thực hiện với chủ đề “Hồn xưa, nét cũ Tiên Yên phố” nhằm bảo tồn, phát huy giá trị văn hoá truyền thống, xây dựng thị trấn trở thành điểm du lịch.",https://media.baoquangninh.vn/upload/image/202305/medium/2083196_16_pho_di_bo_tien_yen_15503613.jpg,N/A,N/A,4.9 sao (12 đánh giá),21.331128,107.3997841
"Trung tâm Văn hóa, Thể thao các dân tộc vùng Đông Bắc","Xã Yên Than, Huyện Tiên Yên, Quảng Ninh","Trung tâm Văn hóa - Thể thao các dân tộc vùng Đông Bắc được đưa vào sử dụng từ tháng 7/2017. Tại đây, du khách được đáp ứng việc tìm hiểu những nét riêng đời sống văn hóa các tộc người của các huyện, thị, thành phố vùng Đông Bắc.",https://media.baoquangninh.vn/dataimages/201908/original/images1317345_DSC_4828.JPG,N/A,N/A,N/A,21.3334034,107.4041349
Đền thờ Đức ông Hoàng Cần (Miếu Đại Vương),"xã Hải Lạng, Xã Hải Lạng, Huyện Tiên Yên, Quảng Ninh","Theo sách “Đại Nam nhất thống chí” và “Đồng Khánh địa dư chí”, Đức ông Hoàng Cần có công dẹp giặc, giữ yên một vùng biên giới Đông Bắc. Đức ông được triều đình nhà Trần phong tặng chức Khâm Sai Đông Đạo Tiết Chế; triều đình nhà Nguyễn phong tặng chức Khâm Sai Thái Bảo Xuyên Quốc Công Tôn Thân và Bản cảnh thành hoàng. Nhân dân địa phương kính trọng gọi ông là Đại vương, lập đền thờ cúng, còn gọi là Miếu Đại vương.",https://media.baoquangninh.vn/dataimages/201910/original/images1331685_bai_tien_yen_2.jpg,N/A,N/A,N/A,21.3213874,107.3494475
Chợ Tiên Yên,"Thị trấn Tiên Yên, Huyện Tiên Yên, Quảng Ninh","Được đưa vào sử dụng năm 2006, chợ Tiên Yên có tổng diện tích gần 10.000m2 bao gồm 1 nhà chợ chính, 2 dãy chợ phụ. Nhà chợ chính được xây 2 tầng, tầng 1 kinh doanh chủ yếu các mặt hàng khô, điện tử, giầy dép, bánh kẹo và gia dụng. Tầng 2 dành cho các hộ kinh doanh quần áo. Nhà chợ phụ là nơi để các hộ kinh doanh thực phẩm tươi sống, hàng ăn uống v.v..",https://media.baoquangninh.vn//dataimages/202012/original/images1454373_41.jpg,Giờ mở cửa: 7:00 - 18:00,N/A,4.0 sao (987 đánh giá),21.3310971,107.3987406
Thác Pạc Sủi,"Xã Yên Than, Huyện Tiên Yên, Quảng Ninh","Thác gồm 16 tầng thác và gây ấn tượng với du khách với vẻ đẹp hùng vĩ, nguyên sơ và mộc mạc. Dừng chân tại thác Pạc Sủi, du khách không chỉ được thưởng ngoạn cảnh đẹp thiên nhiên núi rừng mà còn được tận hưởng không khí trong lành, rời xa khói bụi của chốn đô thị.",https://statics.vinwonders.com/thac-pac-sui-1_1704788272.jpg,N/A,N/A,,21.377442,107.3830859
Cột mốc 1317(2) và cửa khẩu Hoành Mô,"Xã Hoành Mô, Huyện Bình Liêu, Quảng Ninh","Cột mốc Trung Quốc – Việt Nam 1321 (2) là một trong những biểu tượng biên giới quan trọng nằm ở huyện Bình Liêu, tỉnh Quảng Ninh, Việt Nam, và đánh dấu ranh giới giữa Việt Nam và Trung Quốc. Nó là một điểm đến lịch sử và văn hóa, thu hút sự quan tâm của du khách và những người muốn thấy biên giới quốc gia.",https://cdn.asahiluxstay.com/media/2022/0924/0238-ab83a528848bcf6-mceu-999946749101663987098085.jpg,N/A,N/A,4.6 sao (70 đánh giá),21.5974967,107.4879273
Chợ Đồng Văn,"xẫ Đồng Văn, Xã Đồng Văn, Huyện Bình Liêu, Quảng Ninh","Chợ trung tâm thị trấn Bình Liêu (huyện Bình Liêu, Quảng Ninh) sáng Chủ nhật náo nhiệt người mua kẻ bán. Người Tày, người Dao, người Sán Chỉ… đến chợ không chỉ để trao đổi hàng hóa mà còn gặp gỡ, giao lưu với nhau. Chợ phiên truyền thống ở trung tâm huyện trước đây họp 6 phiên mỗi tháng Âm lịch, nhưng từ những năm 1970 đã chuyển sang ngày Chủ nhật để bà con tiện đi lại, mua bán. Hàng hoá cũng có sự thay đổi, ngoài nông lâm, thổ sản, nông cụ, mật ong, lá thuốc rừng, các loại bánh trái (cóoc mò, bánh ngải, bánh gật gù…) thì nay có thêm nhiều hàng tiêu dùng, thực phẩm từ miền xuôi, các huyện lân cận đưa tới. ",https://bazantravel.com/cdn/medias/uploads/30/30184-cho-dong-van-binh-lieu.jpg,N/A,N/A,4.0 sao (240 đánh giá),23.2768851,105.3609726
Chợ Trung tâm huyện Bình Liêu,"Thị trấn Bình Liêu, Huyện Bình Liêu, Quảng Ninh","Chợ có sức hút đặc biệt, với những gian hàng đầy màu sắc, sản phẩm thủ công tinh xảo và các sản phẩm địa phương hấp dẫn. Khám phá chợ trung tâm Bính Liêu, bạn sẽ trải nghiệm cuộc sống sôi động và mua sắm những món quà độc đáo để ghi nhớ hành trình ấn tượng trong vùng cao nguyên này.",https://media.baoquangninh.vn/dataimages/201802/original/images1025413_1.jpg,"Giờ mở cửa: 06:00 – 18:00 (Thứ 2), 06:00 – 17:00 (Thứ 3 - Thứ 4), 06:30 – 17:00 (Thứ 5 - Thứ 7), 06:00 – 17:30 (Chủ Nhật)",N/A,4.1 sao (100 đánh giá),21.525765,107.39618
Đình Lục Nà,"xẫ Lục Hồn, Huyện Bình Liêu, Quảng Ninh","Đình Lục Nà là nơi thờ thần hoàng làng Hoàng Cần, là một tướng quân, một vị anh hùng dân tộc đã có công lao rất lớn trong cuộc chiến đấu đánh bại giặc phương Bắc đến xâm lăng đất nước ta, bảo vệ non sông bờ cõi; Tại đây còn ghi đậm dấu ấn lịch sử cách mạng huyện Bình Liêu. Ngày 20/11/1945, tại đình Lục Nà đã diễn ra cuộc mít tinh lớn do mặt trận Việt Minh tổ chức, tuyên bố thành lập chính quyền cách mạng lâm thời của huyện. Ngày 18/1/1946, Ủy ban Hành chính huyện Bình Liêu được thành lập; ngày 21/11/1946, Lực lượng Vệ quốc đoàn của huyện cũng được thành lập tại đây.",https://media.vov.vn/sites/default/files/styles/large_watermark/public/2023-08/dinh-luc-na-binh-lieu_qn_1.jpg,N/A,N/A,N/A,21.5495912,107.4268232
